Sensor,Data,Valor,Direcao_Saida,Unidade,Estado
PZ-BM-BV-54,2013-09-28 11:30:00,24.57,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-09-28 11:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-10-07 10:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-10-07 10:40:00,27.74,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-10-09 14:49:00,27.74,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-10-09 14:49:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-10-09 14:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-10-09 14:50:00,24.57,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-10-15 09:05:00,26.97,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-10-15 09:05:00,28.02,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-10-15 09:05:00,2.4,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-10-15 09:05:00,0.28,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-10-29 18:00:00,0.48,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-10-29 18:00:00,28.22,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-11-08 09:35:00,28.82,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-11-08 09:35:00,1.08,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-11-08 09:35:00,4.17,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-11-08 09:35:00,28.74,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-11-14 08:50:00,4.42,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-11-14 08:50:00,29.05,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-11-14 08:50:00,1.31,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-11-14 08:50:00,28.99,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-11-22 09:30:00,29.65,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-11-22 09:30:00,1.91,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-11-22 09:30:00,4.33,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-11-22 09:30:00,28.9,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-11-30 09:45:00,29.39,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-11-30 09:45:00,4.82,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-11-30 09:47:00,2.41,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-11-30 09:47:00,30.15,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-12-04 09:30:00,29.55,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-12-04 09:30:00,4.98,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-12-04 09:30:00,30.3,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-12-04 09:30:00,2.56,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-12-14 10:20:00,30.49,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-12-14 10:20:00,2.75,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-12-14 10:20:00,5.2,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2013-12-14 10:20:00,29.77,Cota Piezométrica,m,normal
PZ-BM-BV-53,2013-12-18 14:00:00,3.05,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2013-12-18 14:00:00,30.79,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-12-18 14:00:00,30.07,Cota Piezométrica,m,normal
PZ-BM-BV-54,2013-12-18 14:00:00,5.5,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-01-07 09:20:00,30.94,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-01-07 09:20:00,3.2,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-01-07 09:20:00,30.22,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-01-07 09:20:00,5.65,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-01-16 09:00:00,31.17,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-01-16 09:00:00,3.43,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-01-16 09:40:00,5.87,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-01-16 09:40:00,30.44,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-01-24 09:00:00,31.38,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-01-24 09:00:00,3.64,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-01-24 09:40:00,30.66,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-01-24 09:40:00,6.09,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-01-30 08:25:00,30.84,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-01-30 08:25:00,6.27,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-02-12 15:15:00,4.67,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-02-12 15:15:00,32.41,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-02-12 15:15:00,7.12,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-02-12 15:15:00,31.69,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-02-19 09:00:00,32.93,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-02-19 09:00:00,5.19,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-02-19 09:00:00,7.62,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-02-19 09:00:00,32.19,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-02-26 15:25:00,5.57,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-02-26 15:25:00,33.31,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-02-26 15:25:00,7.53,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-02-26 15:25:00,32.1,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-05 15:30:00,33.63,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-05 15:30:00,5.89,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-05 15:30:00,8.33,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-05 15:30:00,32.9,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-11 16:00:00,33.66,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-11 16:00:00,5.92,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-11 16:00:00,32.82,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-03-11 16:00:00,8.25,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-03-18 16:10:00,33.81,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-18 16:10:00,6.07,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-18 16:10:00,33.1,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-03-18 16:10:00,8.53,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-24 09:00:00,8.41,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-03-24 09:00:00,32.98,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-24 09:00:00,33.69,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-03-24 09:00:00,5.95,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-04-01 10:15:00,32.95,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-04-01 10:15:00,8.38,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-01 10:15:00,5.91,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-01 10:15:00,33.65,Cota Piezométrica,m,normal
