Sensor,Data,Valor,Direcao_Saida,Unidade,Estado
PZ-D06C-05,2013-07-16 15:00:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-16 15:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-07-16 15:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-07-16 15:00:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-06,2013-07-19 14:00:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-06,2013-07-19 14:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-07-22 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-07-22 09:40:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-07,2013-07-22 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-07-22 09:40:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-22 09:50:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-22 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-07-27 09:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-07-27 09:30:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-06,2013-07-27 09:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-07-27 09:30:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-27 09:35:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-07-27 09:35:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-07,2013-07-31 10:50:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-07,2013-07-31 10:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-07-31 10:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-07-31 10:50:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-31 10:55:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-05,2013-07-31 10:55:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-08-06 09:52:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-06,2013-08-06 09:52:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-08-06 09:55:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-08-06 09:55:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-05,2013-08-06 10:25:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-08-06 10:25:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-06,2013-08-13 10:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-08-13 10:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-08-13 10:00:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-06,2013-08-13 10:00:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-07,2013-08-13 10:00:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-07,2013-08-13 10:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-08-23 14:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-08-23 14:30:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-05,2013-08-23 14:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-07,2013-08-23 14:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-08-23 14:30:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-07,2013-08-23 14:30:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-06,2013-08-28 16:04:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-07,2013-08-28 16:04:00,49.84,Cota Piezométrica,m,normal
PZ-D06C-07,2013-08-28 16:04:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-08-28 16:04:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-08-28 16:16:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-05,2013-08-28 16:16:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-12,2013-08-29 17:10:00,5.77,Carga Piezométrica,m.c.a,normal
PZ-D06C-12,2013-08-29 17:10:00,37.43,Cota Piezométrica,m,normal
PZ-D06C-10,2013-08-30 09:40:00,39.33,Cota Piezométrica,m,normal
PZ-D06C-12,2013-08-30 09:40:00,6.2,Carga Piezométrica,m.c.a,normal
PZ-D06C-12,2013-08-30 09:40:00,37.86,Cota Piezométrica,m,normal
PZ-D06C-10,2013-08-30 09:40:00,11.7,Carga Piezométrica,m.c.a,normal
PZ-D06C-05,2013-09-03 09:50:00,50.27,Cota Piezométrica,m,normal
PZ-D06C-05,2013-09-03 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-10,2013-09-03 09:50:00,40.22,Cota Piezométrica,m,normal
PZ-D06C-06,2013-09-03 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-D06C-06,2013-09-03 09:50:00,59.72,Cota Piezométrica,m,normal
PZ-D06C-12,2013-09-03 09:50:00,38.34,Cota Piezométrica,m,normal
PZ-D06C-12,2013-09-03 09:50:00,6.68,Carga Piezométrica,m.c.a,normal
