;Sensor;N;E;Latitude;Longitude;Altura;Latitude_norm;Longitude_norm;Altura_norm;Cluster
0;RN‐BM‐BV‐04;9652528;412251;-3,14370741;-51,79017605;72;0,750123064;0,432402543;0,619225968;1
1;RN‐BM‐BV‐03;9652034;412160;-3,148177157;-51,79099865;57,5;0,351317175;0,262366813;0,438202247;0
2;RN‐BM‐BV‐02;9651599;412222;-3,152114659;-51,79044981;98;0;0,375815244;0,943820225;0
3;RN‐BM‐BV‐01;9652838;412556;-3,140906833;-51,78743015;102,5;1;1;1;1
4;PZ‐BM‐BV‐31;9652379;412421;-3,14505276;-51,78865327;47,07;0,63008638;0,747173702;0,307990012;2
5;PZ‐BM‐BV‐13;9652636;412475;-3,14273345;-51,78816475;69,96;0,837023094;0,848154327;0,593757803;1
6;PZ‐BM‐BV‐11;9652625;412507;-3,142831039;-51,78788002;74,48;0,828315853;0,907009094;0,650187266;1
7;PZ-BM-BV-83;9651806;412236;-3,15024372;-51,79032493;71,77;0,16693152;0,401627733;0,616354557;0
8;PZ-BM-BV-82;9651806;412236;-3,15024372;-51,79032493;78,54;0,16693152;0,401627733;0,700873908;0
9;PZ-BM-BV-81;9651806;412251;-3,150243822;-51,79018994;77,83;0,166922343;0,429531411;0,692009988;0
10;PZ-BM-BV-73;9651976;412182;-3,148705495;-51,79080974;56,66;0,304177095;0,301414294;0,427715356;0
11;PZ-BM-BV-72;9651956;412233;-3,148886769;-51,79035091;65,21;0,288003246;0,396258466;0,534456929;0
12;PZ-BM-BV-71;9651945;412270;-3,14898653;-51,79001801;65,45;0,279102164;0,465071953;0,537453184;0
13;PZ-BM-BV-56;9652221;412179;-3,146489155;-51,79083507;22,99;0,501926404;0,296178961;0,007365793;2
14;PZ-BM-BV-55;9652207;412219;-3,146616076;-51,79047519;22,4;0,490602094;0,370568776;0;2
15;PZ-BM-BV-54;9652183;412287;-3,14683365;-51,7898634;24,57;0,471189362;0,497031233;0,027091136;2
16;PZ-BM-BV-53;9652183;412287;-3,14683365;-51,7898634;27,74;0,471189362;0,497031233;0,066666667;2
17;PZ-BM-BV-52;9652163;412345;-3,147014971;-51,78934157;29,8;0,455011292;0,604896987;0,092384519;2
18;PZ-BM-BV-51;9652163;412345;-3,147014971;-51,78934157;41,4;0,455011292;0,604896987;0,237203496;2
19;PZ-BM-BV-36;9652470;412453;-3,144238524;-51,78836755;44,13;0,702735257;0,8062341;0,271285893;2
20;PZ-BM-BV-35;9652435;412276;-3,144553932;-51,78996067;40,57;0,674593533;0,476923255;0,226841448;2
21;PZ-BM-BV-34;9652400;412363;-3,144871144;-51,78917797;39,75;0,646290801;0,638714546;0,216604245;2
22;PZ-BM-BV-33;9652400;412363;-3,144871144;-51,78917797;54,1;0,646290801;0,638714546;0,395755306;2
23;PZ-BM-BV-32;9652380;412421;-3,145052464;-51,78865614;37,6;0,63011278;0,746580158;0,189762797;2
24;PZ-BM-BV-15;9652589;412430;-3,143161869;-51,78857372;65;0,798798101;0,763615761;0,531835206;1
25;PZ-BM-BV-14;9652636;412475;-3,142737004;-51,78816843;54,44;0,836705957;0,847392208;0,4;1
26;PZ-BM-BV-12;9652625;412507;-3,142836731;-51,78788053;59,15;0,827808018;0,906904236;0,458801498;1
27;PE-BM-BV-82;9651805;412263;-3,150252951;-51,79008196;75,16;0,166107871;0,451852945;0,658676654;0
28;PE-BM-BV-81;9651805;412274;-3,150253026;-51,78998296;73,43;0,166101144;0,472315644;0,637078652;0
29;PE-BM-BV-72;9651942;412282;-3,149013751;-51,78991003;64,05;0,276673431;0,487390645;0,519975031;0
30;PE-BM-BV-71;9651937;412300;-3,149059106;-51,78974808;58,52;0,272626766;0,520867981;0,45093633;0
