;Sensor;N;E;Latitude;Longitude;Altura;Latitude_norm;Longitude_norm;Altura_norm;Cluster
0;MS-D06C-01-ER;9651348;413549;-3,154395828;-51,77851175;100;0,165590472;0,034227144;1;2
1;MS-D06C-02-ER;9651512;413535;-3,152912152;-51,77863664;100;0,323462369;0;1;2
2;MS-D06C-03-ER;9651640;413574;-3,151754498;-51,7782848;100;0,446643557;0,096425089;1;2
3;MS-D06C-04-ER;9651784;413616;-3,150452125;-51,77790586;100;0,585223784;0,20027849;1;3
4;MS-D06C-05-ER;9651939;413663;-3,149050276;-51,77748184;100;0,734388762;0,316483674;1;3
5;MS-D06C-06-ER;9652042;413694;-3,148118724;-51,77720217;100;0,833511492;0,393130821;1;3
6;MS-D06C-07-ER;9652118;413716;-3,147431358;-51,77700367;100;0,906651234;0,447530788;1;3
7;MS-D06C-08-ER;9652215;413745;-3,146554069;-51,77674204;100;1;0,519233845;1;3
8;MS-D06C-09-ER;9651627;413613;-3,151872362;-51,77793391;80;0,434102089;0,192590338;0,723642393;2
9;MS-D06C-10-ER;9651771;413656;-3,150569996;-51,77754597;80;0,572681621;0,298910038;0,723642393;3
10;MS-D06C-11-ER;9651916;413700;-3,149258589;-51,77714902;80;0,712223053;0,407697595;0,723642393;3
11;MS-D06C-12-ER;9652030;413734;-3,148227548;-51,77684227;80;0,821931946;0,491764041;0,723642393;3
12;MS-D06C-13-ER;9652108;413756;-3,14752209;-51,77664376;80;0,896996847;0,54616763;0,723642393;3
13;MS-D06C-14-ER;9651752;413702;-3,150742184;-51,77713212;60;0,55435973;0,412328908;0,447284787;0
14;MS-D06C-15-ER;9651902;413746;-3,149385546;-51,77673514;60;0,698714053;0,52112555;0,447284787;1
15;MS-D06C-16-ER;9652016;413780;-3,148354505;-51,77642839;60;0,808422969;0,605191912;0,447284787;1
16;MS-D06C-17-ER;9652094;413802;-3,147649047;-51,77622988;60;0,883487885;0,659595442;0,447284787;1
17;MS-D06C-18-ER;9651249;413564;-3,155291505;-51,77837743;100;0,070285038;0,071040526;1;2
18;MV-D06C-01;9651469;413837;-3,153303178;-51,77591909;57;0,281854852;0,744771557;0,405831146;0
19;MV-D06C-02;9651573;413645;-3,152361075;-51,77764629;68,5;0,382100193;0,27141542;0,564736769;0
20;MV-D06C-03;9651925;413834;-3,149178075;-51,77594303;38;0,720790174;0,738209616;0,143291419;1
21;MV-D06C-04;9652151;413822;-3,147133546;-51,77604951;65;0,938340215;0,7090276;0,516374188;1
22;PA-D06C-01;9651176;413588;-3,155952042;-51,77816193;89,72;0;0,130099465;0,85795219;2
23;PA-D06C-02;9651189;413590;-3,155834455;-51,77814384;87,26;0,012511999;0,135056236;0,823960205;2
24;PA-D06C-03;9651201;413595;-3,155725934;-51,77809877;84,89;0,024059266;0,147410356;0,791211828;2
25;PA-D06C-04;9651214;413599;-3,15560836;-51,77806268;82,42;0,036569826;0,157299918;0,757081664;2
26;PA-D06C-05;9651227;413600;-3,155490766;-51,77805359;80,82;0,049082545;0,159790283;0,734973055;2
27;PA-D06C-06;9651239;413601;-3,155382218;-51,77804451;79,55;0,060632692;0,162278803;0,717424347;2
28;PA-D06C-07;9651251;413601;-3,155273663;-51,77804443;78,21;0,072183558;0,162300924;0,698908387;2
29;PA-D06C-08;9651263;413602;-3,155165115;-51,77803535;76,89;0,083733705;0,164789442;0,680668785;2
30;PA-D06C-09;9651275;413602;-3,155056561;-51,77803527;76,25;0,095284571;0,164811561;0,671825342;2
31;PA-D06C-10;9651287;413602;-3,154948006;-51,77803519;86,1;0,106835438;0,16483368;0,807931463;2
32;PA-D06C-11;9651300;413601;-3,154830398;-51,7780441;75,15;0,119349596;0,162391244;0,656625674;2
33;PA-D06C-12;9651311;413601;-3,15473089;-51,77804403;73,58;0,12993789;0,162411518;0,634931601;2
34;PA-D06C-13;9651323;413600;-3,154622328;-51,77805295;74,09;0,141489475;0,159967238;0,64197872;2
35;PA-D06C-14;9651336;413597;-3,154504707;-51,77807986;74,81;0,154005072;0,15259201;0,651927594;2
36;PA-D06C-16;9651358;413585;-3,154305609;-51,77818771;82,42;0,175190291;0,123035811;0,757081664;2
37;PA-D06C-17;9651370;413584;-3,154197047;-51,77819662;77,53;0,186741877;0,120591533;0,689512229;2
38;PA-D06C-18;9651381;413581;-3,154097518;-51,77822355;76,97;0,197332329;0,113212623;0,681774216;2
39;PA-D06C-19;9651393;413578;-3,153988943;-51,77825047;79,93;0,208885353;0,105835556;0,722675142;2
40;PA-D06C-20;9651405;413576;-3,153880375;-51,77826838;78,49;0,220437657;0,100924885;0,702777394;2
41;PZ-D06C-01;9651351;413567;-3,154368811;-51,77834974;84,33;0,168465236;0,078627791;0,783473815;2
42;PZ-D06C-02;9651351;413567;-3,154368811;-51,77834974;74,93;0,168465236;0,078627791;0,65358574;2
43;PZ-D06C-03;9651356;413884;-3,154323803;-51,77805273;74,89;0,173254358;0,160028055;0,653033025;2
44;PZ-D06C-05;9651634;413595;-3,151808917;-51,77809585;50,27;0,44085303;0,148208215;0,312836811;0
45;PZ-D06C-07;9651622;413634;-3,151917735;-51,77774496;49,84;0,42927414;0,24437532;0,306895122;0
46;PZ-D06C-08;9651609;413679;-3,15203564;-51,77734007;49,89;0,416728379;0,355338955;0,307586016;0
47;PZ-D06C-10;9651924;413675;-3,149186051;-51,77737395;27,63;0,719941566;0,346052702;0;1
48;PZ-D06C-12;9651908;413719;-3,149331087;-51,77697808;31,66;0,704508847;0,454544193;0,055686058;1
49;PZ-D06C-13;9651881;413816;-3,149575989;-51,77610532;29,58;0,678449864;0,69373394;0,026944867;1
50;PZ-D06C-14;9651985;413850;-3,148635409;-51,77579864;37,5;0,778533086;0,777781831;0,136382479;1
51;PZ-D06C-15;9652113;413733;-3,147476704;-51,77685072;53,54;0,901826189;0,489450066;0,35802128;1
52;PZ-D06C-16;9652113;413733;-3,147476704;-51,77685072;45,1;0,901826189;0,489450066;0,241398369;1
53;PZ-D06C-17;9652100;413777;-3,147594601;-51,77645483;55,16;0,889281224;0,597946935;0,380406246;1
54;PZ-D06C-17A;9652081;413800;-3,147766634;-51,77624797;55,28;0,870975871;0,654638829;0,382064391;1
55;PZ-D06C-18A;9652081;413800;-3,147766634;-51,77624797;35,14;0,870975871;0,654638829;0,103772281;1
56;PZ-D06C-19;9652081;413844;-3,14776693;-51,77585199;45,25;0,870944372;0,763159601;0,243471052;1
57;PZ-D06C-20;9651245;413620;-3,155328069;-51,77787348;65;0,066394457;0,209151423;0,516374188;2
58;PZ-D06C-21;9651387;413639;-3,154043633;-51,77770154;65;0,203066056;0,256274581;0,516374188;0
59;PZ-D06C-22;9651539;413665;-3,152668782;-51,77746653;71,5;0,349358367;0,320680668;0,60619041;0
60;PZ-D06C-23;9651735;413744;-3,150896253;-51,77675426;56,5;0,537965866;0,515885947;0,398922205;0
61;PZ-D06C-24;9652150;413870;-3,147142915;-51,77561755;61,5;0,937343296;0,827411998;0,468011607;1
62;PZ-D06C-25;9652213;413839;-3,146572794;-51,77589611;73;0,998007564;0,751069725;0,626917231;1
63;PZ-D06C-26;9651486;413884;-3,153149709;-51,775496;57;0,298184899;0,860723308;0,405831146;0
64;PZ-D06C-27;9652118;413940;-3,147432865;-51,7749878;46,5;0,906490906;1;0,260743402;1
65;PZ-D06C-28;9651420;413752;-3,15374587;-51,77668437;65;0,234749774;0,535037945;0,516374188;0
66;PZ-D06C-29;9652166;413907;-3,146998424;-51,77528446;65;0,952718002;0,918697373;0,516374188;1
