,Data,Valor
0,2016-04-08 00:00:00,97.04
1,2016-04-09 00:00:00,97.02
2,2016-04-10 00:00:00,96.95
3,2016-04-11 00:00:00,97.03
4,2016-04-12 00:00:00,97.08
5,2016-04-13 00:00:00,97.0
6,2016-04-14 00:00:00,96.94
7,2016-04-15 00:00:00,96.89
8,2016-04-16 00:00:00,96.96
9,2016-04-17 00:00:00,96.9
10,2016-04-18 00:00:00,96.91
11,2016-04-19 00:00:00,96.99
12,2016-04-20 00:00:00,96.96
13,2016-04-21 00:00:00,96.94
14,2016-04-22 00:00:00,96.91
15,2016-04-23 00:00:00,96.95
16,2016-04-24 00:00:00,96.96
17,2016-04-25 00:00:00,96.92
18,2016-04-26 00:00:00,96.85
19,2016-04-27 00:00:00,96.82
20,2016-04-28 00:00:00,96.85
21,2016-04-29 00:00:00,96.88
22,2016-04-30 00:00:00,96.91
23,2016-05-01 00:00:00,96.89
24,2016-05-02 00:00:00,96.81
25,2016-05-03 00:00:00,96.8
26,2016-05-04 00:00:00,96.83
27,2016-05-05 00:00:00,96.87
28,2016-05-06 00:00:00,96.93
29,2016-05-07 00:00:00,96.94
30,2016-05-08 00:00:00,97.0
31,2016-05-09 00:00:00,96.99
32,2016-05-10 00:00:00,96.98
33,2016-05-11 00:00:00,97.0
34,2016-05-12 00:00:00,96.95
35,2016-05-13 00:00:00,96.94
36,2016-05-14 00:00:00,97.01
37,2016-05-15 00:00:00,97.0
38,2016-05-16 00:00:00,96.9
39,2016-05-17 00:00:00,96.81
40,2016-05-18 00:00:00,96.76
41,2016-05-19 00:00:00,96.83
42,2016-05-20 00:00:00,96.9
43,2016-05-21 00:00:00,96.95
44,2016-05-22 00:00:00,96.96
45,2016-05-23 00:00:00,96.95
46,2016-05-24 00:00:00,96.94
47,2016-05-25 00:00:00,96.96
48,2016-05-26 00:00:00,96.91
49,2016-05-27 00:00:00,96.88
50,2016-05-28 00:00:00,96.94
51,2016-05-29 00:00:00,96.97
52,2016-05-30 00:00:00,96.99
53,2016-05-31 00:00:00,96.97
54,2016-06-01 00:00:00,96.93
55,2016-06-02 00:00:00,96.97
56,2016-06-03 00:00:00,96.98
57,2016-06-04 00:00:00,96.94
58,2016-06-05 00:00:00,96.94
59,2016-06-06 00:00:00,96.96
60,2016-06-07 00:00:00,96.95
61,2016-06-08 00:00:00,96.95
62,2016-06-09 00:00:00,96.93
63,2016-06-10 00:00:00,96.91
64,2016-06-11 00:00:00,96.92
65,2016-06-12 00:00:00,96.96
66,2016-06-13 00:00:00,96.98
67,2016-06-14 00:00:00,96.99
68,2016-06-15 00:00:00,96.97
69,2016-06-16 00:00:00,96.97
70,2016-06-17 00:00:00,96.96
71,2016-06-18 00:00:00,96.94
72,2016-06-19 00:00:00,96.94
73,2016-06-20 00:00:00,96.92
74,2016-06-21 00:00:00,96.93
75,2016-06-22 00:00:00,96.94
76,2016-06-23 00:00:00,96.94
77,2016-06-24 00:00:00,96.93
78,2016-06-25 00:00:00,96.94
79,2016-06-26 00:00:00,96.93
80,2016-06-27 00:00:00,96.97
81,2016-06-28 00:00:00,97.0
82,2016-06-29 00:00:00,96.97
83,2016-06-30 00:00:00,96.92
84,2016-07-01 00:00:00,96.9
85,2016-07-02 00:00:00,96.87
86,2016-07-03 00:00:00,96.88
87,2016-07-04 00:00:00,96.88
88,2016-07-05 00:00:00,96.94
89,2016-07-06 00:00:00,96.94
90,2016-07-07 00:00:00,96.96
91,2016-07-08 00:00:00,96.94
92,2016-07-09 00:00:00,96.97
93,2016-07-10 00:00:00,96.97
94,2016-07-11 00:00:00,96.99
95,2016-07-12 00:00:00,96.94
96,2016-07-13 00:00:00,96.95
97,2016-07-14 00:00:00,96.9
98,2016-07-15 00:00:00,96.9
99,2016-07-16 00:00:00,96.87
100,2016-07-17 00:00:00,96.8
101,2016-07-18 00:00:00,96.8
102,2016-07-19 00:00:00,96.73
103,2016-07-20 00:00:00,96.75
104,2016-07-21 00:00:00,96.64
105,2016-07-22 00:00:00,96.62
106,2016-07-23 00:00:00,96.57
107,2016-07-24 00:00:00,96.49
108,2016-07-25 00:00:00,96.43
109,2016-07-26 00:00:00,96.35
110,2016-07-27 00:00:00,96.26
111,2016-07-28 00:00:00,96.18
112,2016-07-29 00:00:00,96.08
113,2016-07-30 00:00:00,96.0
114,2016-07-31 00:00:00,95.89
115,2016-08-01 00:00:00,95.8
116,2016-08-02 00:00:00,95.75
117,2016-08-03 00:00:00,95.69
118,2016-08-04 00:00:00,95.62
119,2016-08-05 00:00:00,95.55
120,2016-08-06 00:00:00,95.49
121,2016-08-07 00:00:00,95.44
122,2016-08-08 00:00:00,95.38
123,2016-08-09 00:00:00,95.28
124,2016-08-10 00:00:00,95.24
125,2016-08-11 00:00:00,95.15
126,2016-08-12 00:00:00,95.07
127,2016-08-13 00:00:00,95.0
128,2016-08-14 00:00:00,94.94
129,2016-08-15 00:00:00,94.83
130,2016-08-16 00:00:00,95.01
131,2016-08-17 00:00:00,94.89
132,2016-08-18 00:00:00,94.83
133,2016-08-19 00:00:00,94.77
134,2016-08-20 00:00:00,94.75
135,2016-08-21 00:00:00,94.73
136,2016-08-22 00:00:00,94.71
137,2016-08-23 00:00:00,94.69
138,2016-08-24 00:00:00,94.69
139,2016-08-25 00:00:00,94.71
140,2016-08-26 00:00:00,94.72
141,2016-08-27 00:00:00,94.7
142,2016-08-28 00:00:00,94.71
143,2016-08-29 00:00:00,94.71
144,2016-08-30 00:00:00,94.7
145,2016-08-31 00:00:00,94.7
146,2016-09-01 00:00:00,94.68
147,2016-09-02 00:00:00,94.69
148,2016-09-03 00:00:00,94.7
149,2016-09-04 00:00:00,94.69
150,2016-09-05 00:00:00,94.69
151,2016-09-06 00:00:00,94.68
152,2016-09-07 00:00:00,94.68
153,2016-09-08 00:00:00,94.67
154,2016-09-09 00:00:00,94.67
155,2016-09-10 00:00:00,94.68
156,2016-09-11 00:00:00,94.7
157,2016-09-12 00:00:00,94.72
158,2016-09-13 00:00:00,94.75
159,2016-09-14 00:00:00,94.77
160,2016-09-15 00:00:00,94.8
161,2016-09-16 00:00:00,94.8
162,2016-09-17 00:00:00,94.79
163,2016-09-18 00:00:00,94.8
164,2016-09-19 00:00:00,94.78
165,2016-09-20 00:00:00,94.77
166,2016-09-21 00:00:00,94.77
167,2016-09-22 00:00:00,94.75
168,2016-09-23 00:00:00,94.75
169,2016-09-24 00:00:00,94.76
170,2016-09-25 00:00:00,94.76
171,2016-09-26 00:00:00,94.77
172,2016-09-27 00:00:00,94.78
173,2016-09-28 00:00:00,94.79
174,2016-09-29 00:00:00,94.79
175,2016-09-30 00:00:00,94.82
176,2016-10-01 00:00:00,94.9
177,2016-10-02 00:00:00,94.98
178,2016-10-03 00:00:00,95.01
179,2016-10-04 00:00:00,95.01
180,2016-10-05 00:00:00,95.03
181,2016-10-06 00:00:00,95.05
182,2016-10-07 00:00:00,95.06
183,2016-10-08 00:00:00,95.13
184,2016-10-09 00:00:00,95.15
185,2016-10-10 00:00:00,95.18
186,2016-10-11 00:00:00,95.18
187,2016-10-12 00:00:00,95.2
188,2016-10-13 00:00:00,95.21
189,2016-10-14 00:00:00,95.21
190,2016-10-15 00:00:00,95.21
191,2016-10-16 00:00:00,95.22
192,2016-10-17 00:00:00,95.22
193,2016-10-18 00:00:00,95.23
194,2016-10-19 00:00:00,95.25
195,2016-10-20 00:00:00,95.31
196,2016-10-21 00:00:00,95.33
197,2016-10-22 00:00:00,95.36
198,2016-10-23 00:00:00,95.37
199,2016-10-24 00:00:00,95.39
200,2016-10-25 00:00:00,95.46
201,2016-10-26 00:00:00,95.54
202,2016-10-27 00:00:00,95.62
203,2016-10-28 00:00:00,95.65
204,2016-10-29 00:00:00,95.75
205,2016-10-30 00:00:00,95.83
206,2016-10-31 00:00:00,95.92
207,2016-11-01 00:00:00,96.03
208,2016-11-02 00:00:00,96.09
209,2016-11-03 00:00:00,96.14
210,2016-11-04 00:00:00,96.18
211,2016-11-05 00:00:00,96.27
212,2016-11-06 00:00:00,96.3
213,2016-11-07 00:00:00,96.36
214,2016-11-08 00:00:00,96.35
215,2016-11-09 00:00:00,96.38
216,2016-11-10 00:00:00,96.43
217,2016-11-11 00:00:00,96.48
218,2016-11-12 00:00:00,96.48
219,2016-11-13 00:00:00,96.47
220,2016-11-14 00:00:00,96.56
221,2016-11-15 00:00:00,96.59
222,2016-11-16 00:00:00,96.62
223,2016-11-17 00:00:00,96.68
224,2016-11-18 00:00:00,96.73
225,2016-11-19 00:00:00,96.8
226,2016-11-20 00:00:00,96.9
227,2016-11-21 00:00:00,96.94
228,2016-11-22 00:00:00,96.95
229,2016-11-23 00:00:00,96.96
230,2016-11-24 00:00:00,96.97
231,2016-11-25 00:00:00,97.01
232,2016-11-26 00:00:00,97.01
233,2016-11-27 00:00:00,96.96
234,2016-11-28 00:00:00,97.03
235,2016-11-29 00:00:00,97.02
236,2016-11-30 00:00:00,97.11
237,2016-12-01 00:00:00,97.04
238,2016-12-02 00:00:00,96.98
239,2016-12-03 00:00:00,96.96
240,2016-12-04 00:00:00,97.03
241,2016-12-05 00:00:00,97.09
242,2016-12-06 00:00:00,97.03
243,2016-12-07 00:00:00,97.0
244,2016-12-08 00:00:00,96.98
245,2016-12-09 00:00:00,97.01
246,2016-12-10 00:00:00,96.99
247,2016-12-11 00:00:00,96.99
248,2016-12-12 00:00:00,96.99
249,2016-12-13 00:00:00,97.03
250,2016-12-14 00:00:00,97.03
251,2016-12-15 00:00:00,97.02
252,2016-12-16 00:00:00,97.04
253,2016-12-17 00:00:00,97.04
254,2016-12-18 00:00:00,97.05
255,2016-12-19 00:00:00,97.12
256,2016-12-20 00:00:00,97.1
257,2016-12-21 00:00:00,97.06
258,2016-12-22 00:00:00,96.99
259,2016-12-23 00:00:00,96.95
260,2016-12-24 00:00:00,96.98
261,2016-12-25 00:00:00,96.98
262,2016-12-26 00:00:00,96.98
263,2016-12-27 00:00:00,96.97
264,2016-12-28 00:00:00,97.01
265,2016-12-29 00:00:00,97.15
266,2016-12-30 00:00:00,97.16
267,2016-12-31 00:00:00,97.07
268,2017-01-01 00:00:00,96.98
269,2017-01-02 00:00:00,96.95
270,2017-01-03 00:00:00,96.94
271,2017-01-04 00:00:00,96.92
272,2017-01-05 00:00:00,96.91
273,2017-01-06 00:00:00,96.89
274,2017-01-07 00:00:00,97.01
275,2017-01-08 00:00:00,97.05
276,2017-01-09 00:00:00,97.06
277,2017-01-10 00:00:00,97.06
278,2017-01-11 00:00:00,97.09
279,2017-01-12 00:00:00,97.12
280,2017-01-13 00:00:00,97.1
281,2017-01-14 00:00:00,97.11
282,2017-01-15 00:00:00,97.14
283,2017-01-16 00:00:00,97.09
284,2017-01-17 00:00:00,96.99
285,2017-01-18 00:00:00,96.99
286,2017-01-19 00:00:00,97.07
287,2017-01-20 00:00:00,97.06
288,2017-01-21 00:00:00,97.08
289,2017-01-22 00:00:00,97.06
290,2017-01-23 00:00:00,97.03
291,2017-01-24 00:00:00,96.95
292,2017-01-25 00:00:00,96.93
293,2017-01-26 00:00:00,97.01
294,2017-01-27 00:00:00,97.06
295,2017-01-28 00:00:00,97.13
296,2017-01-29 00:00:00,97.06
297,2017-01-30 00:00:00,97.01
